state	expected_discomfort_min_days_sick	expected_discomfort_min_discomfort	difference
exposed-1	1.652294884971031	1.652294884971031	0.0
exposed-2	3.3078976721443003	3.3078976721443003	0.0
exposed-3	6.622417768579027	6.622417768579027	0.0
recovered	-0.0	-0.0	0.0
symptoms-1	13.258093640183935	13.258093640183935	0.0
symptoms-2	9.965661542723833	9.965661542723833	0.0
symptoms-3	3.3255736614121054	3.3255736614121054	0.0
